date,year_month,year,month,weekday,upi_volume_lakh,upi_value_crore,upi_volume,upi_value_rupees
2020-06-01,2020-06,2020,6,Monday,476.97,10413.11,47697000.0,104131100000.0
2020-06-02,2020-06,2020,6,Tuesday,476.78,9951.3,47678000.0,99513000000.0
2020-06-03,2020-06,2020,6,Wednesday,456.26,9622.38,45626000.0,96223799999.99998
2020-06-04,2020-06,2020,6,Thursday,463.05,9639.5,46305000.0,96395000000.0
2020-06-05,2020-06,2020,6,Friday,464.79,9539.52,46479000.0,95395200000.0
2020-06-06,2020-06,2020,6,Saturday,458.65,9119.2,45865000.0,91192000000.0
2020-06-07,2020-06,2020,6,Sunday,427.26,6875.0,42726000.0,68750000000.0
2020-06-08,2020-06,2020,6,Monday,469.99,10062.17,46999000.0,100621700000.0
2020-06-09,2020-06,2020,6,Tuesday,466.98,9786.86,46698000.0,97868600000.0
2020-06-10,2020-06,2020,6,Wednesday,461.58,9839.41,46158000.0,98394100000.0
2020-06-11,2020-06,2020,6,Thursday,449.65,9499.97,44965000.0,94999700000.0
2020-06-12,2020-06,2020,6,Friday,453.43,9288.43,45343000.0,92884300000.0
2020-06-13,2020-06,2020,6,Saturday,289.0,4333.74,28900000.0,43337400000.0
2020-06-14,2020-06,2020,6,Sunday,435.87,7238.23,43587000.0,72382300000.0
2020-06-15,2020-06,2020,6,Monday,463.91,9725.94,46391000.0,97259400000.0
2020-06-16,2020-06,2020,6,Tuesday,469.24,9361.87,46924000.0,93618700000.00002
2020-06-17,2020-06,2020,6,Wednesday,446.58,9087.24,44658000.0,90872400000.0
2020-06-18,2020-06,2020,6,Thursday,433.32,8793.32,43332000.0,87933200000.0
2020-06-19,2020-06,2020,6,Friday,440.29,8512.47,44029000.0,85124700000.0
2020-06-20,2020-06,2020,6,Saturday,437.75,8280.13,43775000.0,82801299999.99998
2020-06-21,2020-06,2020,6,Sunday,356.53,4938.44,35653000.0,49384399999.99999
2020-06-22,2020-06,2020,6,Monday,459.55,9375.2,45955000.0,93752000000.0
2020-06-23,2020-06,2020,6,Tuesday,452.99,8650.02,45299000.0,86500200000.0
2020-06-24,2020-06,2020,6,Wednesday,477.54,8942.45,47754000.0,89424500000.0
2020-06-25,2020-06,2020,6,Thursday,456.49,8531.52,45649000.0,85315200000.0
2020-06-26,2020-06,2020,6,Friday,455.45,8660.95,45545000.0,86609500000.0
2020-06-27,2020-06,2020,6,Saturday,436.26,7586.08,43626000.0,75860800000.0
2020-06-28,2020-06,2020,6,Sunday,397.91,5544.8,39791000.0,55448000000.0
2020-06-29,2020-06,2020,6,Monday,430.17,8825.17,43017000.0,88251700000.0
2020-06-30,2020-06,2020,6,Tuesday,505.09,11811.09,50509000.0,118110900000.0
2020-07-01,2020-07,2020,7,Wednesday,515.18,11611.71,51517999.99999999,116117099999.99998
2020-07-02,2020-07,2020,7,Thursday,481.96,10494.44,48196000.0,104944400000.0
2020-07-03,2020-07,2020,7,Friday,507.41,10735.45,50741000.0,107354500000.0
2020-07-04,2020-07,2020,7,Saturday,498.77,10114.58,49877000.0,101145800000.0
2020-07-05,2020-07,2020,7,Sunday,432.52,7115.05,43252000.0,71150500000.0
2020-07-06,2020-07,2020,7,Monday,503.34,10863.0,50334000.0,108630000000.0
2020-07-07,2020-07,2020,7,Tuesday,496.02,10438.01,49602000.0,104380100000.0
2020-07-08,2020-07,2020,7,Wednesday,509.11,10642.44,50911000.0,106424400000.0
2020-07-09,2020-07,2020,7,Thursday,485.14,10059.96,48514000.0,100599599999.99998
2020-07-10,2020-07,2020,7,Friday,451.5,9324.23,45150000.0,93242300000.0
2020-07-11,2020-07,2020,7,Saturday,500.95,9024.34,50095000.0,90243400000.0
2020-07-12,2020-07,2020,7,Sunday,434.05,6282.22,43405000.0,62822200000.0
2020-07-13,2020-07,2020,7,Monday,518.52,10469.79,51852000.0,104697900000.00002
2020-07-14,2020-07,2020,7,Tuesday,519.6,10312.04,51960000.0,103120400000.00002
2020-07-15,2020-07,2020,7,Wednesday,499.18,10118.86,49918000.0,101188600000.0
2020-07-16,2020-07,2020,7,Thursday,479.81,9451.87,47981000.0,94518700000.00002
2020-07-17,2020-07,2020,7,Friday,472.6,9034.77,47260000.0,90347700000.0
2020-07-18,2020-07,2020,7,Saturday,462.3,8380.13,46230000.0,83801299999.99998
2020-07-19,2020-07,2020,7,Sunday,410.87,5766.61,41087000.0,57666100000.0
2020-07-20,2020-07,2020,7,Monday,461.25,8829.0,46125000.0,88290000000.0
2020-07-21,2020-07,2020,7,Tuesday,437.49,8301.25,43749000.0,83012500000.0
2020-07-22,2020-07,2020,7,Wednesday,496.81,9735.93,49681000.0,97359300000.0
2020-07-23,2020-07,2020,7,Thursday,470.34,8878.82,47034000.0,88788200000.0
2020-07-24,2020-07,2020,7,Friday,483.32,9348.16,48332000.0,93481600000.0
2020-07-25,2020-07,2020,7,Saturday,466.6,7787.59,46660000.0,77875900000.0
2020-07-26,2020-07,2020,7,Sunday,414.17,5659.17,41417000.0,56591700000.0
2020-07-27,2020-07,2020,7,Monday,501.87,9884.21,50187000.0,98842099999.99998
2020-07-28,2020-07,2020,7,Tuesday,497.54,9580.56,49754000.0,95805600000.0
2020-07-29,2020-07,2020,7,Wednesday,488.78,9301.61,48878000.0,93016100000.0
2020-07-30,2020-07,2020,7,Thursday,525.93,10592.09,52592999.99999999,105920900000.0
2020-07-31,2020-07,2020,7,Friday,550.61,12399.97,55061000.0,123999700000.0
2020-08-01,2020-08,2020,8,Saturday,554.43,10981.35,55442999.99999999,109813500000.0
