date,year_month,upi_volume_lakh,upi_value_crore,source
2021-06-01,2021-06,28075.16,547373.0,RBI official monthly archive
2021-07-01,2021-07,32455.02,605883.0,RBI official monthly archive
2021-08-01,2021-08,35555.45,639117.0,RBI official monthly archive
2021-09-01,2021-09,36558.17,654648.0,RBI official monthly archive
2021-10-01,2021-10,42184.32,771407.0,RBI official monthly archive
2021-11-01,2021-11,41864.8,768436.0,RBI official monthly archive
2021-12-01,2021-12,45662.99,826848.0,RBI official monthly archive
2022-01-01,2022-01,46171.56,831993.0,RBI official monthly archive
2022-02-01,2022-02,45274.89,826843.0,RBI official monthly archive
2022-03-01,2022-03,54056.51,960582.0,RBI official monthly archive
2022-04-01,2022-04,55843.88,983573.0,RBI official monthly archive
2022-05-01,2022-05,59462.89,1040221.0,RBI official monthly archive
2022-07-01,2022-07,62893.4,1063117.0,RBI official monthly archive
2022-08-01,2022-08,65819.06,1073162.0,RBI official monthly archive
2022-09-01,2022-09,67808.0,1116438.0,RBI official monthly archive
2022-10-01,2022-10,73054.21,1211588.0,RBI official monthly archive
2022-11-01,2022-11,73094.47,1190593.0,RBI official monthly archive
2022-12-01,2022-12,78288.95,1281971.0,RBI official monthly archive
2023-01-01,2023-01,80385.88,1299059.0,RBI official monthly archive
2023-02-01,2023-02,75347.57,1235847.0,RBI official monthly archive
2023-03-01,2023-03,86516.34,1404951.0,RBI official monthly archive
2023-04-01,2023-04,88632.6,1415505.0,RBI official monthly archive
2023-05-01,2023-05,94151.85,1489145.0,RBI official monthly archive
2023-06-01,2023-06,93350.61,1475464.0,RBI official monthly archive
2023-07-01,2023-07,99642.56,1533536.0,RBI official monthly archive
2023-08-01,2023-08,105860.16,1576537.0,RBI official monthly archive
2023-09-01,2023-09,105556.87,1579133.0,RBI official monthly archive
2023-10-01,2023-10,114087.9,1715768.0,RBI official monthly archive
2023-11-01,2023-11,112352.92,1739741.0,RBI official monthly archive
2023-12-01,2023-12,120202.26,1822949.0,RBI official monthly archive
2024-01-01,2024-01,122030.18,1841084.0,RBI official monthly archive
2024-02-01,2024-02,121026.73,1827869.0,RBI official monthly archive
2024-03-01,2024-03,134400.04,1978353.0,RBI official monthly archive
2024-04-01,2024-04,133039.94,1964465.0,RBI official monthly archive
2024-05-01,2024-05,140358.43,2044937.0,RBI official monthly archive
2024-06-01,2024-06,138851.42,2007081.0,RBI official monthly archive
2024-07-01,2024-07,144355.54,2064292.0,RBI official monthly archive
2024-08-01,2024-08,149630.47,2060736.0,RBI official monthly archive
2024-09-01,2024-09,150417.47,2063995.0,RBI official monthly archive
2024-10-01,2024-10,165849.66,2349821.0,RBI official monthly archive
2024-11-01,2024-11,154820.21,2155187.0,RBI official monthly archive
2024-12-01,2024-12,167300.09,2324700.0,RBI official monthly archive
2025-01-01,2025-01,169960.01,2348037.0,RBI official monthly archive
2025-02-01,2025-02,161061.93,2196482.0,RBI official monthly archive
2025-03-01,2025-03,183015.08,2477222.0,RBI official monthly archive
2025-04-01,2025-04,178934.24,2394926.0,RBI official monthly archive
2025-05-01,2025-05,186774.6,2514297.0,RBI official monthly archive
2025-06-01,2025-06,183950.06,2403931.0,RBI official monthly archive
2025-07-01,2025-07,194679.48,2508498.0,RBI official monthly archive
2025-08-01,2025-08,200083.1,2485473.0,RBI official monthly archive
2025-09-01,2025-09,196334.33,2489737.0,RBI official monthly archive
2025-10-01,2025-10,207009.21,2727791.0,RBI official monthly archive
2025-11-01,2025-11,204669.79,2631633.0,RBI official monthly archive
2025-12-01,2025-12,216346.68,2796713.0,RBI official monthly archive
